threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,asimov_significance,background_neff
0.0015010694792354316,184877.0,368969.0,0.9999945910275966,0.9411394100167073,0.5010637750054883,304.36025944871585,8.708577832262685,368969.0
0.001527027206691702,184876.0,368393.0,0.9999891820551932,0.9396701909219605,0.5018444975881735,304.59645982202613,8.720528775215579,368393.0
0.0015524454586003055,184875.0,367817.0,0.9999837730827897,0.9382009718272137,0.5026276653879511,304.83321610119435,8.732513109749652,367817.0
0.0015762673648167973,184875.0,367240.0,0.9999837730827897,0.9367292020048719,0.5034173837272629,305.07259597770775,8.744593613771704,367240.0
0.0016053285529693145,184875.0,366663.0,0.9999837730827897,0.9352574321825301,0.504209587550421,305.3125406831237,8.756708013944996,366663.0
0.0016326896545450242,184873.0,366088.0,0.9999729551379829,0.9337907638153783,0.5049960665195253,305.54891229664725,8.76873074095965,366088.0
0.0016593741939083442,184873.0,365511.0,0.9999729551379829,0.9323189939930365,0.5057932592999937,305.78998876118845,8.780913145812294,365511.0
0.001689230161979263,184872.0,364935.0,0.9999675461655795,0.9308497748982897,0.5065888445887624,306.0295620962355,8.793066803088502,364935.0
0.001719234114340585,184871.0,364359.0,0.9999621371931761,0.929380555803543,0.5073869452929666,306.2697046122192,8.805254715491383,364359.0
0.0017490377174758844,184871.0,363782.0,0.9999621371931761,0.9279087859812012,0.5081917192164538,306.5124978255618,8.817540332201213,363782.0
0.0017815794847184118,184871.0,363205.0,0.9999621371931761,0.9264370161588593,0.5089990501232087,306.75586937388454,8.829860723183916,363205.0
0.0018171988692308682,184871.0,362628.0,0.9999621371931761,0.9249652463365174,0.5098089502189571,306.9998215568355,8.842216038035506,362628.0
0.0018521467974327683,184871.0,362052.0,0.9999621371931761,0.9234960272417707,0.5106200214333853,307.2439323768841,8.854584922961658,362052.0
0.0018931155801726553,184870.0,361476.0,0.9999567282207726,0.922026808147024,0.5114309110425035,307.4869631779982,8.86694672162827,361476.0
0.0019326125233850829,184870.0,360899.0,0.9999567282207726,0.9205550383246821,0.5122485792423919,307.7326678215054,8.879407538678818,360899.0
0.0019705684531467977,184869.0,360323.0,0.9999513192483692,0.9190858192299354,0.513064666979349,307.9768691311172,8.891839902600196,360323.0
0.002011780110342508,184869.0,359746.0,0.9999513192483692,0.9176140494075935,0.5138875762343431,308.2237536772057,8.904371819237499,359746.0
0.002057773647293194,184869.0,359169.0,0.9999513192483692,0.9161422795852517,0.5147131294738688,308.47123290949617,8.916939574625896,359169.0
