threshold,signal_yield,background_yield,signal_events,background_events,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,signal_neff,background_neff,asimov_z_bkg_syst_0pct,asimov_z_bkg_syst_1pct,asimov_z_bkg_syst_5pct,asimov_z_bkg_syst_10pct
0.0009267610941392851,212.6050999999999,190200033.33333325,184874,374164,0.9999783641103862,0.9543904398729739,1.1177973855945695e-06,0.015415882230481391,184873.99999999988,374163.9999999995,0.015415879358117661,0.00025211728936092677,6.86371672677521e-05,0.0
0.0009347100175186431,212.6050999999999,190122258.33333325,184874,374011,0.9999783641103862,0.9540001785509318,1.1182546528941837e-06,0.015419035063973139,184873.99999999988,374010.9999999994,0.01541903218872549,0.00012338108408031494,0.0,8.90291729454553e-05
0.0009528278087778627,212.6050999999999,189922991.66666657,184874,373619,0.9999783641103862,0.9530002933336734,1.1194279225189473e-06,0.015427121747426931,184873.99999999988,373618.99999999936,0.015427118869031847,8.607331308120025e-05,0.00011128854954723507,0.0002119294234637575
0.0009542758669633821,212.6050999999999,189906724.9999999,184874,373587,0.9999783641103862,0.952918670050632,1.1195238083327486e-06,0.015427782446708432,184873.99999999988,373586.9999999994,0.015427779568408018,0.000227784657675886,0.00016626899779276393,8.097918525823238e-05
0.0009726788817588752,212.6050999999999,189723724.9999999,184874,373227,0.9999783641103862,0.9520004081164153,1.1206036567118846e-06,0.015435221167692928,184873.99999999988,373226.9999999994,0.015435218286249119,0.00014286485448421085,0.0,0.0
0.000985477967051501,212.6050999999999,189613416.66666657,184874,373010,0.9999783641103862,0.9514469002282901,1.1212555721927203e-06,0.015439710264496236,184873.99999999988,373009.9999999994,0.015439707378796814,0.0,0.00019419022881226293,0.0
0.0009944701180984,212.6050999999999,189524458.33333325,184874,372835,0.9999783641103862,0.951000522899157,1.121781863246762e-06,0.015443333358241157,184873.99999999988,372834.9999999995,0.01544333047186813,0.00023141971590262585,0.0,0.0
0.001012602380242354,212.6050999999999,189325191.66666657,184874,372443,0.9999783641103862,0.9500006376818987,1.122962549930074e-06,0.015451458352664912,184873.99999999988,372442.99999999936,0.015451455460960809,0.0,0.0,0.0002499304345884055
0.0010130860139425752,212.6050999999999,189320108.33333325,184874,372433,0.9999783641103862,0.9499751304059484,1.1229927019990349e-06,0.015451665790709264,184873.99999999988,372432.9999999994,0.015451662900109412,0.0,0.0,0.0
0.0010313093901068555,212.6050999999999,189125924.9999999,184874,372051,0.9999783641103862,0.9490007524646406,1.124145724601215e-06,0.015459596184681334,184873.99999999988,372050.9999999994,0.015459593290332052,0.0003057833907656823,0.00019678122814484277,9.656120077154804e-05
0.0010401319158051276,212.6050999999999,189026799.9999999,184874,371856,0.9999783641103862,0.9485033605836065,1.1247352227303218e-06,0.015463649132792112,184873.99999999988,371855.9999999995,0.01546364623349002,0.00016177336125071398,0.00013838541304220993,0.00015942660408236326
0.0010482878220196038,212.6050999999999,188926658.33333325,184874,371659,0.9999783641103862,0.9480008672473824,1.1253313951326527e-06,0.015467746888131996,184873.99999999988,371658.9999999994,0.015467743989327458,0.0003148195951115655,0.0,0.0
0.0010633440458302818,212.6050999999999,188733491.66666657,184874,371279,0.9999783641103862,0.9470315907612646,1.1264831595204862e-06,0.015475660398773579,184873.99999999988,371278.99999999936,0.015475657494312327,0.0,0.00027258212188650864,0.0002847421492524694
0.0010637355022907436,212.6050999999999,188727391.66666657,184874,371267,0.9999783641103862,0.9470009820301241,1.1265195694301046e-06,0.015475910496983504,184873.99999999988,371266.99999999936,0.015475907592708279,0.0,0.00012666474624741596,0.00025789872360363394
0.001080543592215433,212.6050999999999,188528124.9999999,184874,370875,0.9999783641103862,0.9460010968128659,1.1277102554327106e-06,0.015484087045328082,184873.99999999988,370874.9999999994,0.01548408413513026,0.0,0.0,9.506117668840756e-05
0.0010878173462137478,212.6050999999999,188440183.33333325,184874,370702,0.9999783641103862,0.9455598209389229,1.128236537659917e-06,0.015487699697270745,184873.99999999988,370701.9999999995,0.015487696784595646,0.00019662155945727845,0.0,0.0
0.0011002806667703815,212.6050999999999,188328858.33333325,184874,370483,0.9999783641103862,0.9450012115956077,1.1289034611132132e-06,0.015492276567384172,184873.99999999988,370482.9999999995,0.015492273654812764,0.00022644510669794237,0.0,0.0
0.0011159166286649176,212.6050999999999,188146874.9999999,184874,370125,0.9999783641103862,0.944088051116581,1.129995382596708e-06,0.015499767137493107,184873.99999999988,370124.9999999994,0.01549976421872643,0.0001193559145230249,0.0,0.00012242843566212603
0.0011169905985117532,212.6050999999999,188129083.33333325,184874,370090,0.9999783641103862,0.9439987756507544,1.1301022480575172e-06,0.015500500038982394,184873.99999999988,370089.9999999995,0.015500497120418446,0.00029082172464142355,0.0,0.0
0.0011371509789985332,212.6050999999999,187929816.66666657,184874,369698,0.9999783641103862,0.9429988904334962,1.131300523626329e-06,0.015508715644940683,184873.99999999988,369697.9999999994,0.01550871271973065,0.0,0.00024648828858130886,0.000278246601428271
0.0011452681977264841,212.6050999999999,187854074.9999999,184874,369549,0.9999783641103862,0.9426188320218343,1.1317566573948422e-06,0.015511841841673608,184873.99999999988,369548.9999999994,0.015511838914738549,0.00018351648004644194,0.0,0.0
0.0011577743738881402,212.6050999999999,187730549.9999999,184874,369306,0.9999783641103862,0.9419990052162379,1.1325013430152951e-06,0.0155169443281176,184873.99999999988,369305.9999999994,0.015516941399262412,0.0,0.0,0.00011879843463511914
0.001174737476541556,212.6050999999999,187560766.66666657,184874,368972,0.9999783641103862,0.9411470621994924,1.1335265033216791e-06,0.015523965846115349,184873.99999999988,368971.99999999936,0.015523962913529765,0.0,3.037968232044363e-05,0.00014384569796141325
0.0011780514594475061,212.6050999999999,187531283.33333325,184874,368914,0.9999783641103862,0.9409991199989798,1.1337047143334396e-06,0.015525186123242848,184873.99999999988,368913.9999999995,0.015525183187643824,0.00036792513286302485,0.0,0.00018080489642635975
0.0011981769693379313,212.6050999999999,187332524.9999999,184874,368523,0.9999783641103862,0.9400017855093166,1.1349075661047115e-06,0.015533419989894326,184873.99999999988,368522.9999999994,0.01553341705341811,0.0,0.00019690648882470129,0.00022566740714353637
0.0012039938081688706,212.6050999999999,187267458.33333325,184874,368395,0.9999783641103862,0.9396752923771506,1.135301893303673e-06,0.015536118323314115,184873.99999999988,368394.9999999995,0.015536115383608218,3.794735721745458e-05,0.0,0.0
0.0012186915780624176,212.6050999999999,187132749.9999999,184874,368130,0.9999783641103862,0.9389993495644633,1.136119145366057e-06,0.015541709188904063,184873.99999999988,368129.9999999995,0.015541706245238677,0.00026200694089053173,0.00011239352915996803,0.0
0.00123531738969646,212.6050999999999,186974149.9999999,184874,367818,0.9999783641103862,0.9382035225548088,1.1370828534318782e-06,0.015548299384889967,184873.99999999988,367817.9999999994,0.015548296439183196,0.0,0.0,0.00030808098364620016
0.0012404911596616437,212.6050999999999,186933483.33333325,184874,367738,0.9999783641103862,0.9379994643472052,1.1373302214718265e-06,0.015549990529548231,184873.99999999988,367737.9999999994,0.015549987582166544,0.00023055583260543142,0.0,0.0
0.001260692212727242,212.6050999999999,186734216.6666666,184874,367346,0.9999783641103862,0.9369995791299469,1.1385438822897392e-06,0.01555828512235838,184873.99999999988,367345.9999999995,0.015558282170699525,0.0002205741262617041,0.0001863666491348246,9.119918810581501e-05
0.0012661003045420956,212.6050999999999,186680841.6666666,184874,367241,0.9999783641103862,0.936731752732467,1.1388694099613239e-06,0.015560509143076526,184873.99999999988,367240.99999999953,0.01556050618846966,0.0,0.00010664629638521301,0.00020959202505238398
0.0012802406156169647,212.6050999999999,186534949.9999999,184874,366954,0.9999783641103862,0.9359996939126886,1.1397601361031808e-06,0.015566593002716754,184873.99999999988,366953.9999999994,0.015566590046254698,0.00023332121672421153,0.0,0.00013819219807210343
0.001296499595340727,212.6050999999999,186387533.33333325,184874,366664,0.9999783641103862,0.9352599829101251,1.1406615893123038e-06,0.015572747710725334,184873.99999999988,366663.9999999995,0.015572744751960625,0.0,0.0,0.0
0.001302567182517288,212.6050999999999,186335683.33333325,184874,366562,0.9999783641103862,0.9349998086954304,1.1409789912309692e-06,0.015574914206138,184873.99999999988,366561.9999999995,0.015574911244139627,0.0,0.00017860156027735998,0.0
0.0013230587319991033,212.6050999999999,186136416.6666666,184874,366170,0.9999783641103862,0.9339999234781723,1.142200456027546e-06,0.015583248768269789,184873.99999999988,366169.99999999953,0.015583245801376223,0.00010687142493119463,0.0,0.0
0.0013282685215508974,212.6050999999999,186094224.9999999,184874,366087,0.9999783641103862,0.9337882130877833,1.1424594180716785e-06,0.015585015201310228,184873.99999999988,366086.9999999994,0.015585012235022,0.0,0.0,0.00012235184636605486
0.001346213800567504,212.6050999999999,185937149.9999999,184874,365778,0.9999783641103862,0.9330000382609139,1.1434245388831657e-06,0.015591596724893485,184873.99999999988,365777.9999999994,0.015591593753050068,0.00020970836216309234,0.0,0.0
0.0013604023400715522,212.6039499999999,185801424.9999999,184873,365511,0.9999729551379829,0.9323189939930365,1.1442536030065433e-06,0.015597206025468885,184872.99999999985,365510.9999999994,0.015597203049834014,0.0001583008417863623,0.0,0.00019802835304624168
0.0013664561156132085,212.6039499999999,185737883.33333325,184873,365386,0.9999729551379829,0.9320001530436558,1.1446450567031157e-06,0.015599873730356161,184872.99999999985,365385.9999999995,0.015599870753983586,0.0,0.0,0.0
